Date,Open,High,Low,Close,Adj Close,Volume
4/10/2019,225,225,225,225,225,0
4/11/2019,225,225,225,225,225,0
4/12/2019,225,225,225,225,225,0
4/15/2019,225,225,225,225,225,0
4/16/2019,360,360,360,360,360,0
4/17/2019,360,360,360,360,360,0
4/18/2019,360,360,360,360,360,0
4/22/2019,292.5,292.5,292.5,292.5,292.5,1
4/23/2019,292.5,292.5,292.5,292.5,292.5,0
4/24/2019,292.5,292.5,292.5,292.5,292.5,0
4/25/2019,355.5,355.5,355.5,355.5,355.5,2
4/26/2019,360,391.5,355.5,391.5,391.5,6
4/29/2019,391.5,391.5,391.5,391.5,391.5,0
4/30/2019,346.5,346.5,346.5,346.5,346.5,0
5/1/2019,346.5,346.5,346.5,346.5,346.5,0
5/2/2019,346.5,346.5,346.5,346.5,346.5,0
5/3/2019,346.5,346.5,346.5,346.5,346.5,0
5/6/2019,346.5,346.5,346.5,346.5,346.5,0
5/7/2019,346.5,346.5,346.5,346.5,346.5,0
5/8/2019,337.5,382.5,337.5,382.5,382.5,0
5/9/2019,324,324,324,324,324,0
5/10/2019,324,324,324,324,324,0
5/13/2019,324,324,324,324,324,0
5/14/2019,324,324,324,324,324,0
5/15/2019,225,225,225,225,225,1
5/16/2019,225,225,225,225,225,0
5/17/2019,225,225,225,225,225,0
5/20/2019,225,225,225,225,225,0
5/21/2019,225,225,225,225,225,0
5/22/2019,225,225,225,225,225,0
5/23/2019,225,225,225,225,225,0
5/24/2019,225,225,225,225,225,0
5/28/2019,225,225,225,225,225,0
5/29/2019,211.5,211.5,211.5,211.5,211.5,4
5/30/2019,211.5,211.5,162,162,162,0
5/31/2019,162,162,162,162,162,0
6/3/2019,162,162,162,162,162,0
6/4/2019,162,162,162,162,162,0
6/5/2019,162,162,162,162,162,0
6/6/2019,162,162,162,162,162,0
6/7/2019,162,162,162,162,162,0
6/10/2019,10.8,10.8,10.8,10.8,10.8,0
6/11/2019,114.599998,114.599998,114.599998,114.599998,114.599998,1
6/12/2019,114.599998,114.599998,114.599998,114.599998,114.599998,0
6/13/2019,111.599998,111.599998,94.5,94.5,94.5,15
6/14/2019,94.5,94.5,94.5,94.5,94.5,0
6/17/2019,82.800003,82.800003,82.800003,82.800003,82.800003,26
6/18/2019,82.800003,82.800003,82.800003,82.800003,82.800003,0
6/19/2019,82.800003,82.800003,82.800003,82.800003,82.800003,0
6/20/2019,42,54,42,42.299999,42.299999,512
6/21/2019,42.299999,42.299999,42.299999,42.299999,42.299999,0
6/24/2019,45.299999,45.299999,45,45,45,132
6/25/2019,48,48,38.700001,38.700001,38.700001,100
6/26/2019,45.299999,45.299999,34.5,34.5,34.5,36
6/27/2019,35.099998,35.099998,24.9,25.5,25.5,90
6/28/2019,25.5,25.5,25.5,25.5,25.5,0
7/1/2019,25.5,25.5,25.5,25.5,25.5,0
7/2/2019,25.5,25.5,25.5,25.5,25.5,0
7/3/2019,25.5,25.5,25.5,25.5,25.5,0
7/5/2019,57.299999,79.5,54,79.5,79.5,54
7/8/2019,161.699997,161.699997,63.599998,81.300003,81.300003,131
7/9/2019,75,79.800003,74.099998,79.800003,79.800003,26
7/10/2019,75.599998,75.599998,75.599998,75.599998,75.599998,8
7/11/2019,77.699997,117,77.699997,117,117,85
7/12/2019,118.5,126,118.5,126,126,19
7/15/2019,146.399994,146.399994,136.199997,138.600006,138.600006,50
7/16/2019,127.800003,127.800003,125.699997,125.699997,125.699997,6
7/17/2019,128.699997,133.199997,123.900002,123.900002,123.900002,6
7/18/2019,135.899994,135.899994,135.899994,135.899994,135.899994,2
7/19/2019,135.899994,135.899994,135.899994,135.899994,135.899994,0
7/22/2019,135.899994,135.899994,135.899994,135.899994,135.899994,0
7/23/2019,135.899994,135.899994,135.899994,135.899994,135.899994,0
7/24/2019,135.899994,135.899994,135.899994,135.899994,135.899994,0
7/25/2019,120.300003,120.300003,120.300003,120.300003,120.300003,3
7/26/2019,92.400002,93.300003,92.099998,92.099998,92.099998,29
7/29/2019,92.099998,92.099998,92.099998,92.099998,92.099998,0
7/30/2019,114.900002,114.900002,114.900002,114.900002,114.900002,1
7/31/2019,114.900002,114.900002,114.900002,114.900002,114.900002,0
8/1/2019,114.900002,114.900002,114.900002,114.900002,114.900002,0
8/2/2019,90.300003,90.300003,90.300003,90.300003,90.300003,0
8/5/2019,90.300003,90.300003,90.300003,90.300003,90.300003,0
8/6/2019,90.300003,90.300003,90.300003,90.300003,90.300003,0
8/7/2019,90.300003,90.300003,90.300003,90.300003,90.300003,0
8/8/2019,67.5,67.5,67.5,67.5,67.5,0
8/9/2019,78.300003,104.699997,78.300003,104.699997,104.699997,17
8/12/2019,104.699997,104.699997,104.699997,104.699997,104.699997,0
8/13/2019,119.099998,121.5,119.099998,121.5,121.5,29
8/14/2019,138.899994,138.899994,135.300003,135.300003,135.300003,7
8/15/2019,152.100006,192.899994,152.100006,192.899994,192.899994,7
8/16/2019,218.699997,218.699997,192.899994,192.899994,192.899994,18
8/19/2019,212.100006,212.399994,211.800003,212.399994,212.399994,17
8/20/2019,235.800003,257.700012,235.800003,237.300003,237.300003,128
8/21/2019,237.300003,237.300003,237.300003,237.300003,237.300003,0
8/22/2019,253.5,253.5,222.600006,222.600006,222.600006,33
